Data :: 
 [2.29457900e+02 9.13603319e+00]
 [2.29510660e+02 7.15024274e+00]
 [2.29563400e+02 4.16515014e+00]
 [2.29616150e+02 1.01807691e+01]
 [2.29668890e+02 1.31970991e+01]
 [2.29721620e+02 1.52141452e+01]
 [2.29774350e+02 2.12319158e+01]
 [2.29827080e+02 2.02504165e+01]
 [2.29879800e+02 1.42696490e+01]
 [2.29932510e+02 1.12896184e+01]
 [2.29985230e+02 1.23103378e+01]
 [2.30037930e+02 7.33180079e+00]
 [2.30090640e+02 7.35402483e+00]
 [2.30143340e+02 1.23770071e+01]
 [2.30196030e+02 1.04007528e+01]
 [2.30248720e+02 1.14252718e+01]
 [2.30301410e+02 8.45056963e+00]
 [2.30354090e+02 8.47664702e+00]
 [2.30406760e+02 1.15035092e+01]
 [2.30459430e+02 3.53116656e+00]
 [2.30512100e+02 8.55962494e+00]
 [2.30564770e+02 1.25888900e+01]
 [2.30617420e+02 1.46189558e+01]
 [2.30670080e+02 1.16498452e+01]
 [2.30722730e+02 1.36815520e+01]
 [2.30775370e+02 1.37140815e+01]
 [2.30828010e+02 6.74744563e+00]
 [2.30880650e+02 1.17816500e+01]
 [2.30933280e+02 1.58166938e+01]
 [2.30985910e+02 6.85258926e+00]
 [2.31038530e+02 1.18893351e+01]
 [2.31091150e+02 1.69269441e+01]
 [2.31143760e+02 1.49654145e+01]
 [2.31196370e+02 1.30047594e+01]
 [2.31248980e+02 1.40449848e+01]
 [2.31301580e+02 1.90860886e+01]
 [2.31354180e+02 1.41280844e+01]
 [2.31406770e+02 1.01709698e+01]
 [2.31459350e+02 1.22147505e+01]
 [2.31511940e+02 1.52594489e+01]
 [2.31564510e+02 1.43050454e+01]
 [2.31617090e+02 9.35157178e+00]
 [2.31669660e+02 1.63990163e+01]
 [2.31722220e+02 1.24473847e+01]
 [2.31774780e+02 1.04966917e+01]
 [2.31827340e+02 1.85469436e+01]
 [2.31932430e+02 2.65006705e+01]
 [2.31984980e+02 2.97888438e+01]
 [2.32037510e+02 3.60841071e+01]
 [2.32090050e+02 3.23860117e+01]
 [2.32142580e+02 3.06947794e+01]
 [2.32195100e+02 3.30103623e+01]
 [2.32247620e+02 2.53325846e+01]
 [2.32300140e+02 2.96614027e+01]
 [2.32352650e+02 2.09968991e+01]
 [2.32405150e+02 3.63390267e+01]
 [2.32457650e+02 3.46876154e+01]
 [2.32510150e+02 3.10426222e+01]
 [2.32562640e+02 4.84041253e+01]
 [2.32615130e+02 6.07719586e+01]
 [2.32667620e+02 6.21460796e+01]
 [2.32720090e+02 6.85266809e+01]
 [2.32772570e+02 5.69133643e+01]
 [2.32825040e+02 4.33063216e+01]
 [2.32877510e+02 3.37053935e+01]
 [2.32929970e+02 4.51106509e+01]
 [2.32982420e+02 4.75220489e+01]
 [2.33034880e+02 6.09393216e+01]
 [2.33087320e+02 9.23627594e+01]
 [2.33139770e+02 1.21791989e+02]
 [2.33192200e+02 1.42227296e+02]
 [2.33244640e+02 1.32668312e+02]
 [2.33297070e+02 9.01152125e+01]
 [2.33349490e+02 6.45679518e+01]
 [2.33401910e+02 4.20263841e+01]
 [2.33454330e+02 4.24904691e+01]
 [2.33506740e+02 3.49602676e+01]
 [2.33559150e+02 3.54356367e+01]
 [2.33611550e+02 4.29166354e+01]
 [2.33663950e+02 6.84031233e+01]
 [2.33716340e+02 1.00895158e+02]
 [2.33768730e+02 9.23926003e+01]
 [2.33821120e+02 7.48954125e+01]
 [2.33873500e+02 5.64036484e+01]
 [2.33925870e+02 4.89172663e+01]
 [2.33978240e+02 5.04361330e+01]
 [2.34030610e+02 5.39602101e+01]
 [2.34082970e+02 6.24895486e+01]
 [2.34135330e+02 7.00240189e+01]
